"Min,Max,Modal PriceVaranasi from 01-Jan-2023To29-Aug-2025 (Total-738) (Total-738)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
144,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,08-May-23
145,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2865,2800,13-Dec-24
146,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2530,2500,16-May-25
147,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2375,2320,23-May-24
148,Varanasi,Varanasi,Wheat,Dara,FAQ,2150,2235,2200,30-Mar-23
149,Varanasi,Varanasi,Wheat,Dara,FAQ,2380,2465,2430,01-Jul-24
150,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2415,2375,20-Jun-24
151,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2525,2470,10-Aug-24
152,Varanasi,Varanasi,Wheat,Dara,FAQ,2520,2600,2550,23-Feb-24
153,Varanasi,Varanasi,Wheat,Dara,FAQ,2840,2915,2875,06-Jan-25
154,Varanasi,Varanasi,Wheat,Dara,FAQ,2320,2400,2350,13-Sep-23
155,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2850,2775,02-Feb-23
156,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2435,2375,05-Oct-23
157,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2170,13-May-23
158,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2270,21-Mar-23
159,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2525,01-Feb-24
160,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2635,2590,22-Feb-24
161,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2345,2320,16-Jun-23
162,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2240,2200,24-May-23
163,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2350,2300,27-Jul-23
164,Varanasi,Varanasi,Wheat,Dara,FAQ,2940,3035,2975,05-Mar-25
165,Varanasi,Varanasi,Wheat,Dara,FAQ,2435,2550,2525,27-May-25
166,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2525,2500,03-May-25
167,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2385,2340,20-May-24
168,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2515,2480,09-May-25
169,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2340,25-Apr-24
170,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2500,2460,05-Aug-24
171,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2550,11-Feb-24
172,Varanasi,Varanasi,Wheat,Dara,FAQ,2370,2450,2420,21-Mar-24
173,Varanasi,Varanasi,Wheat,Dara,FAQ,2520,2615,2585,02-Apr-25
174,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2520,2500,20-May-25
175,Varanasi,Varanasi,Wheat,Dara,FAQ,2550,2735,2670,28-Feb-23
176,Varanasi,Varanasi,Wheat,Dara,FAQ,2935,3025,2975,24-Feb-25
177,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2485,2440,27-Mar-24
178,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2340,25-May-24
179,Varanasi,Varanasi,Wheat,Dara,FAQ,2935,3030,2985,17-Feb-25
180,Varanasi,Varanasi,Wheat,Dara,FAQ,2940,3035,2970,27-Feb-25
181,Varanasi,Varanasi,Wheat,Dara,FAQ,2270,2350,2325,19-Jun-23
182,Varanasi,Varanasi,Wheat,Dara,FAQ,2840,2945,2890,15-Jan-25
183,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2715,25-Oct-24
184,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2580,2530,18-Jul-25
185,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2600,2545,14-Jul-25
186,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2335,09-Sep-23
187,Varanasi,Varanasi,Wheat,Dara,FAQ,2540,2625,2575,16-Feb-24
188,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2340,30-May-24
189,Varanasi,Varanasi,Wheat,Dara,FAQ,2165,2345,2280,20-Mar-23
190,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2420,2380,14-Jun-24
191,Varanasi,Varanasi,Wheat,Dara,FAQ,2650,2735,2700,09-Jan-23
192,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2185,2135,12-Apr-23
193,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2325,28-Aug-23
194,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2565,2535,04-Jun-25
195,Varanasi,Varanasi,Wheat,Dara,FAQ,2420,2490,2440,04-Dec-23
196,Varanasi,Varanasi,Wheat,Dara,FAQ,2740,2835,2785,19-Nov-24
197,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2590,2540,21-Jul-25
198,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2330,13-May-24
199,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2585,2535,22-Jul-25
200,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2160,10-May-23
201,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2590,2530,16-Jul-25
202,Varanasi,Varanasi,Wheat,Dara,FAQ,2500,2575,2535,07-Feb-24
203,Varanasi,Varanasi,Wheat,Dara,FAQ,2330,2420,2380,18-Oct-23
204,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2375,27-Sep-23
205,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2550,2520,25-Jan-24
206,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2520,2480,08-May-25
207,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2220,2170,31-May-23
208,Varanasi,Varanasi,Wheat,Dara,FAQ,2645,2725,2690,22-Oct-24
209,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2380,2320,05-Jul-23
210,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2320,24-Apr-24
